"",playlist.id,playlist.name,followers.total
245,37i9dQZEVXbMXbN3EUUhlg,Top 50 - Brazil,3201121
246,37i9dQZEVXbKj23U1GF4IR,Top 50 - Canada,332483
247,37i9dQZEVXbL0GavIqMTeb,Top 50 - Chile,502304
248,37i9dQZEVXbOa2lmxNORXQ,Top 50 - Colombia,770613
249,37i9dQZEVXbMZAjGMynsQX,Top 50 - Costa Rica,138869
250,37i9dQZEVXbL3J0k32lWnN,Top 50 - Denmark,192752
251,37i9dQZEVXbJlM6nvL1nD1,Top 50 - Ecuador,168683
252,37i9dQZEVXbLesry2Qw2xS,Top 50 - Estonia,16938
253,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,131412
254,37i9dQZEVXbIPWwFssbupI,Top 50 - France,816852
255,37i9dQZEVXbJiZcmkrIHGU,Top 50 - Germany,2130090
256,37i9dQZEVXbMDoHDwVN2tF,Top 50 - Global,17008924
257,37i9dQZEVXbJqdarpmTJDL,Top 50 - Greece,79418
258,37i9dQZEVXbLy5tBFyQvd4,Top 50 - Guatemala,74574
259,37i9dQZEVXbLwpL8TjsxOG,Top 50 - Hong Kong,104817
260,37i9dQZEVXbNHwMxAkvmF8,Top 50 - Hungary,68349
261,37i9dQZEVXbKMzVsSGQ49S,Top 50 - Iceland,39723
262,37i9dQZEVXbLZ52XmnySJg,Top 50 - India,350822
263,37i9dQZEVXbObFQZ3JLcXt,Top 50 - Indonesia,621054
264,37i9dQZEVXbKM896FDX8L1,Top 50 - Ireland,239791
265,37i9dQZEVXbJ6IpvItkve3,Top 50 - Israel,48615
266,37i9dQZEVXbIQnj7RRhdSX,Top 50 - Italy,1025321
267,37i9dQZEVXbKXQ4mDTEBXq,Top 50 - Japan,922408
268,37i9dQZEVXbKGcyg6TFGx6,Top 50 - Luxembourg,7353
269,37i9dQZEVXbJlfUljuZExa,Top 50 - Malaysia,201359
270,37i9dQZEVXbO3qyFxbkOE1,Top 50 - Mexico,1558805
271,37i9dQZEVXbJU9eQpX8gPT,Top 50 - Morocco,24353
272,37i9dQZEVXbKCF6dqVpDkS,Top 50 - Netherlands,903736
273,37i9dQZEVXbM8SIrkERIYl,Top 50 - New Zealand,210692
274,37i9dQZEVXbISk8kxnzfCq,Top 50 - Nicaragua,15533
275,37i9dQZEVXbJvfa0Yxg7E7,Top 50 - Norway,520366
276,37i9dQZEVXbKypXHVwk1f0,Top 50 - Panama,93336
277,37i9dQZEVXbJfdy5b0KP7W,Top 50 - Peru,448415
278,37i9dQZEVXbNBz9cRCSFkY,Top 50 - Philippines,1191550
279,37i9dQZEVXbKyJS56d1pgi,Top 50 - Portugal,195351
280,37i9dQZEVXbNZbJ6TZelCq,Top 50 - Romania,27642
281,37i9dQZEVXbLrQBcXqUtaC,Top 50 - Saudi Arabia,5302
282,37i9dQZEVXbK4gjvS1FjPY,Top 50 - Singapore,129421
283,37i9dQZEVXbKIVTPX9a2Sb,Top 50 - Slovakia,20399
284,37i9dQZEVXbMH2jvi6jvjk,Top 50 - South Africa,31085
285,37i9dQZEVXbNxXF4SkHj9F,Top 50 - South Korea,65102
286,37i9dQZEVXbNFJfN1Vw8d9,Top 50 - Spain,1507472
287,6zFJ2HTXC3d38AgpfcPGph,Top 50 - Suriname,102
288,37i9dQZEVXbLoATJ81JYXz,Top 50 - Sweden,601534
289,37i9dQZEVXbJiyhoAPEfMK,Top 50 - Switzerland,119982
290,37i9dQZEVXbMnZEatlMSiu,Top 50 - Taiwan,197484
291,37i9dQZEVXbMnz8KIWsvf9,Top 50 - Thailand,132437
292,37i9dQZEVXbIVYVBNw9D5K,Top 50 - Turkey,777285
293,37i9dQZEVXbM4UZuIrvHvA,Top 50 - UAE,2876
294,37i9dQZEVXbLRQDuF5jeBp,Top 50 - USA,3414179
